Member_number,Date,itemDescription
1808,7/21/2015,tropical fruit
2552,5/1/2015,whole milk
2300,9/19/2015,pip fruit
1187,12/12/2015,other vegetables
3037,1/2/2015,whole milk
4941,2/14/2015,rolls/buns
4501,8/5/2015,other vegetables
3803,12/23/2015,pot plants
2762,3/20/2015,whole milk
4119,12/2/2015,tropical fruit
1340,2/24/2015,citrus fruit
2193,4/14/2015,beef
1997,7/21/2015,frankfurter
4546,3/9/2015,chicken
4736,7/21/2015,butter
1959,3/30/2015,fruit/vegetable juice
1974,3/5/2015,packaged fruit/vegetables
2421,2/9/2015,chocolate
1513,3/8/2015,specialty bar
1905,7/7/2015,other vegetables
2810,8/9/2015,butter milk
2867,12/11/2015,whole milk
3962,9/18/2015,tropical fruit
1088,11/30/2015,tropical fruit
4976,7/17/2015,bottled water
4056,12/6/2015,yogurt
3611,2/13/2015,sausage
1420,1/14/2015,other vegetables
4286,8/3/2015,brown bread
4918,1/27/2015,yogurt
4783,10/22/2015,hamburger meat
3709,10/26/2015,root vegetables
4289,8/10/2015,pork
1559,3/10/2015,beef
2900,11/4/2015,pastry
1905,2/21/2015,fruit/vegetable juice
3527,9/29/2015,canned beer
1495,9/1/2015,root vegetables
3558,3/4/2015,citrus fruit
3128,4/20/2015,sausage
1863,4/8/2015,tropical fruit
3841,7/19/2015,berries
3903,6/10/2015,canned beer
2658,10/16/2015,butter milk
4272,6/6/2015,coffee
1120,9/26/2015,pastry
2676,8/15/2015,rolls/buns
1697,5/21/2015,misc. beverages
2507,8/25/2015,root vegetables
4620,11/3/2015,sausage
3365,1/2/2015,canned beer
2978,5/6/2015,ham
2910,7/28/2015,turkey
1061,5/9/2015,whole milk
3276,3/4/2015,whole milk
1326,6/19/2015,packaged fruit/vegetables
3023,7/28/2015,rolls/buns
2185,11/10/2015,ham
3552,6/16/2015,rolls/buns
1967,1/20/2015,other vegetables
4708,3/20/2015,sausage
2874,2/15/2015,sausage
4177,4/13/2015,frankfurter
1663,7/2/2015,rolls/buns
2632,2/3/2015,whole milk
1377,3/14/2015,curd cheese
4162,12/22/2015,red/blush wine
2270,1/7/2015,sausage
4829,3/11/2015,tropical fruit
3811,4/14/2015,red/blush wine
4766,9/29/2015,whole milk
2436,12/4/2015,frankfurter
3860,5/5/2015,whole milk
4875,12/5/2015,frozen potato products
1587,1/7/2015,other vegetables
4038,8/7/2015,citrus fruit
4750,9/21/2015,flour
1199,10/12/2015,sugar
1603,9/30/2015,frozen meals
3111,1/31/2015,chocolate
3894,12/13/2015,root vegetables
1456,9/18/2015,root vegetables
2022,4/3/2015,herbs
2505,11/30/2015,bottled water
4851,12/20/2015,sausage
4293,4/8/2015,coffee
2775,6/11/2015,pork
3693,2/18/2015,berries
1202,7/22/2015,soda
3699,8/23/2015,berries
4152,4/15/2015,fruit/vegetable juice
4155,1/26/2015,citrus fruit
4010,12/29/2015,pork
4389,10/20/2015,detergent
3746,8/17/2015,grapes
2560,5/17/2015,sausage
1503,7/25/2015,chicken
2555,12/23/2015,whole milk
3645,12/12/2015,citrus fruit
3886,11/9/2015,soda
2932,3/20/2015,sausage
1711,6/18/2015,frankfurter
4291,8/12/2015,sausage
1143,4/25/2015,soda
4564,8/7/2015,rolls/buns
3337,5/14/2015,beef
4931,4/5/2015,whole milk
2623,10/10/2015,processed cheese
4581,3/4/2015,tropical fruit
2635,11/6/2015,frankfurter
1095,10/30/2015,packaged fruit/vegetables
2990,5/23/2015,whole milk
2426,5/6/2015,berries
4555,7/11/2015,citrus fruit
3635,4/9/2015,tropical fruit
3058,5/18/2015,hamburger meat
4391,3/26/2015,hamburger meat
1306,6/23/2015,whole milk
1024,10/8/2015,fish
1295,7/23/2015,frankfurter
1661,1/6/2015,packaged fruit/vegetables
4591,5/15/2015,pastry
3169,6/14/2015,other vegetables
3915,5/21/2015,misc. beverages
1127,1/14/2015,frankfurter
4828,8/8/2015,sparkling wine
3683,10/6/2015,specialty bar
1971,9/18/2015,sausage
3014,11/11/2015,curd cheese
3779,9/15/2015,frankfurter
2489,4/5/2015,whole milk
3564,6/27/2015,newspapers
4092,9/30/2015,berries
3221,1/13/2015,curd
1279,6/9/2015,tropical fruit
2581,8/22/2015,soda
2295,2/25/2015,rolls/buns
4760,2/22/2015,canned beer
3649,1/16/2015,canned beer
1075,11/19/2015,frankfurter
3987,8/19/2015,other vegetables
4106,8/25/2015,whole milk
4338,6/24/2015,whole milk
4166,6/11/2015,citrus fruit
1211,10/3/2015,frankfurter
3954,1/21/2015,frankfurter
3928,7/18/2015,butter milk
3827,9/30/2015,hamburger meat
4699,8/2/2015,pasta
4747,8/6/2015,other vegetables
3028,9/6/2015,sausage
2851,3/16/2015,rolls/buns
4417,2/25/2015,grapes
3822,7/3/2015,root vegetables
2288,5/31/2015,coffee
2184,6/30/2015,popcorn
4554,8/27/2015,whole milk
3361,5/3/2015,tropical fruit
2999,4/17/2015,beef
2614,6/25/2015,whole milk
4064,5/6/2015,frankfurter
3567,4/10/2015,tropical fruit
2587,7/5/2015,canned beer
3783,6/17/2015,finished products
1923,2/14/2015,beverages
4835,2/19/2015,hamburger meat
1514,8/24/2015,whole milk
3154,6/22/2015,finished products
1313,12/25/2015,other vegetables
2794,7/18/2015,ham
2359,9/4/2015,other vegetables
2238,9/3/2015,curd
3795,1/17/2015,bottled beer
3724,11/26/2015,curd
1152,5/3/2015,whole milk
4559,3/16/2015,whole milk
3922,2/27/2015,dessert
1709,4/22/2015,sausage
2219,4/17/2015,other vegetables
2206,10/17/2015,ham
1752,6/4/2015,other vegetables
3942,10/11/2015,other vegetables
3296,8/17/2015,soda
2257,5/2/2015,herbs
4313,7/28/2015,frankfurter
2001,8/21/2015,rolls/buns
2449,8/7/2015,curd
4914,12/4/2015,frankfurter
2764,7/24/2015,other vegetables
4187,9/5/2015,dog food
1392,4/20/2015,specialty bar
3427,4/28/2015,curd
1411,2/20/2015,frankfurter
3390,11/14/2015,soda
4787,1/8/2015,beef
3310,1/17/2015,canned beer
1782,10/10/2015,pork
3375,4/26/2015,frankfurter
2760,7/1/2015,sausage
4249,9/13/2015,canned beer
2904,6/6/2015,specialty chocolate
4090,2/26/2015,curd
3060,5/7/2015,canned beer
3768,7/10/2015,whole milk
1232,1/21/2015,rolls/buns
1360,10/23/2015,pork
1107,1/10/2015,citrus fruit
2865,4/11/2015,pot plants
2958,6/14/2015,rolls/buns
2448,12/7/2015,butter
1222,9/24/2015,condensed milk
2943,6/20/2015,sausage
2270,11/8/2015,whole milk
3812,7/21/2015,sausage
1482,11/22/2015,beverages
4720,2/22/2015,beverages
1344,4/9/2015,bottled water
2397,4/10/2015,newspapers
4182,12/5/2015,cleaner
4487,10/7/2015,sausage
3467,12/24/2015,newspapers
2443,11/15/2015,sausage
2749,1/27/2015,misc. beverages
4389,4/13/2015,white wine
1674,4/12/2015,sausage
4262,10/16/2015,meat
2082,7/4/2015,frankfurter
